slug,PlaceCategory,Description,Filter,MarkerColor,Icon
bakery,Bakery,,[shop=bakery],orange,cookie-bite
bar,Bar,,[amenity=pub],orange,coffee
busstop,Bus Stop,,[highway=bus_stop],darkgreen,bus
butcher,Butcher,,[shop=butcher],orange,
chemist,Chemist,,[shop=chemist],lightred,syringe
clothesshop,Clothes Shop,,[shop=clothes],cadetblue,tshirt
farm,Farm,,[landuse=farmyard],orange,
fastfood,Fast Food,,[amenity=fast_food],beige,utensils
hackerspace,Hackerspace,,[leisure=hackerspace],pink,gamepad
hairdresser,Hairdresser,,[shop=hairdresser],purple,cut
hardwarestore,Hardware Store,,[shop=doityourself],purple,toolbox
icecream,Ice Cream,,[amenity=ice_cream],orange,
kiosk,Kiosk,,[shop=kiosk],orange,newspaper
memorial,Memorial,,[historic=memorial],lightgray,monument
optician,Optician,,[shop=optician],gray,glasses
playground,Playground,,[leisure=playground],green,child
post,Post,,[amenity=post_office],purple,envelope
religion,Religion,,[amenity=place_of_worship],cadetblue,hands
restaurant,Restaurant,,[amenity=restaurant],orange,utensils
shoeshop,Shoe Shop,,[shop=shoes],darkpurple,shoe-prints
station,Railway Station,,[railway=station],darkgreen,train
theater,Theater,,[amenity=theatre],red,theater-masks
hotel,Hotel,,[tourism=hotel],darkblue,hotel
parking,Parking,,[amenity=parking],blue,car
fontain,Fontain,,[amenity=fontain],blue,tint
